listeners,mbid,name,playcount,streamable,url,tags
2574853,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,53286763,0,https://www.last.fm/music/Elton+John,"pop, classic rock, singer-songwriter"
2561838,73fdb566-a9b1-494c-9f32-51768ec9fd27,OutKast,50641335,0,https://www.last.fm/music/OutKast,"Hip-Hop, rap, funk"
2555838,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,Amy Winehouse,96398440,0,https://www.last.fm/music/Amy+Winehouse,"soul, jazz, female vocalists"
2550440,f4d5cc07-3bc9-4836-9b15-88a08359bc63,P!nk,71790971,0,https://www.last.fm/music/P%21nk,"pop, pop rock, female vocalists"
2542320,f90e8b26-9e52-4669-a5c9-e28529c47894,Snoop Dogg,40205574,0,https://www.last.fm/music/Snoop+Dogg,"Hip-Hop, rap, Gangsta Rap"
2534657,8c538f11-c141-4588-8ecb-931083524186,Bloc Party,107926700,0,https://www.last.fm/music/Bloc+Party,"indie, indie rock, seen live"
2532622,728ea90d-279b-4201-a8c4-597830883150,Paramore,191167166,0,https://www.last.fm/music/Paramore,"rock, pop punk, alternative"
2530620,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Kid Cudi,74885058,0,https://www.last.fm/music/Kid+Cudi,"Hip-Hop, rap, alternative rap"
2524946,584c04d2-4acc-491b-8a0a-e63133f4bfc4,Yeah Yeah Yeahs,88358625,0,https://www.last.fm/music/Yeah+Yeah+Yeahs,"indie, indie rock, female vocalists"
2523008,fab34286-b8e1-4879-bce3-194e1358fbd2,Ke$ha,96848123,0,https://www.last.fm/music/Ke$ha,"pop, dance, electropop"
2507170,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,Queens of the Stone Age,143973539,0,https://www.last.fm/music/Queens+of+the+Stone+Age,"Stoner Rock, rock, alternative rock"
2497938,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,John Mayer,113431730,0,https://www.last.fm/music/John+Mayer,"singer-songwriter, acoustic, rock"
2497717,494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,80207657,0,https://www.last.fm/music/Mariah+Carey,"pop, rnb, female vocalists"
2497191,c5eb9407-caeb-4303-b383-6929aa94021c,Papa Roach,80122904,0,https://www.last.fm/music/Papa+Roach,"rock, Nu Metal, alternative rock"
2483807,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,103069278,0,https://www.last.fm/music/Black+Sabbath,"heavy metal, hard rock, classic rock"
2477115,ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,72102273,0,https://www.last.fm/music/The+Beach+Boys,"classic rock, 60s, pop"
2462315,d339efbb-77b9-4147-ba9e-59f2f24550b2,Kelly Clarkson,65801762,0,https://www.last.fm/music/Kelly+Clarkson,"pop, female vocalists, pop rock"
2459995,5fee3020-513b-48c2-b1f7-4681b01db0c6,Florence + the Machine,174805952,0,https://www.last.fm/music/Florence+%252B+the+Machine,"indie, female vocalists, alternative"
2458022,69b39eab-6577-46a4-a9f5-817839092033,Kasabian,84360244,0,https://www.last.fm/music/Kasabian,"indie, indie rock, british"
2450423,c7020c6d-cae9-4db3-92a7-e5c561cbad50,Keane,68183495,0,https://www.last.fm/music/Keane,"britpop, indie, alternative"
2447057,618b6900-0618-4f1e-b835-bccb17f84294,Eric Clapton,52124777,0,https://www.last.fm/music/Eric+Clapton,"classic rock, blues, rock"
2432458,01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,72673869,0,https://www.last.fm/music/Elvis+Presley,"rock n roll, classic rock, rock"
2420592,a96ac800-bfcb-412a-8a63-0a98df600700,Modest Mouse,126255025,0,https://www.last.fm/music/Modest+Mouse,"indie, indie rock, alternative"
2410077,5d02f264-e225-41ff-83f7-d9b1f0b1874a,Simon & Garfunkel,64513385,0,https://www.last.fm/music/Simon+&+Garfunkel,"folk, classic rock, singer-songwriter"
2407323,c07f0676-9143-4217-8a9f-4c26bd636f13,My Chemical Romance,127899404,0,https://www.last.fm/music/My+Chemical+Romance,"rock, emo, alternative"
2407303,44c48a1b-defd-4222-bee6-03f9ee9a7be9,Creedence Clearwater Revival,60878287,0,https://www.last.fm/music/Creedence+Clearwater+Revival,"classic rock, rock, Southern Rock"
2405482,dc75517c-d268-486d-bd5b-0eaff34eeef9,Disturbed,109554321,0,https://www.last.fm/music/Disturbed,"metal, Nu Metal, hard rock"
2400116,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,Evanescence,104645343,0,https://www.last.fm/music/Evanescence,"rock, Gothic Rock, female vocalists"
